,alpha,trial,net_reward,success
0,0.1,1,27.896128516,0
1,0.1,2,19.6744601971,0
2,0.1,3,25.047702567,0
3,0.1,4,24.5518763849,0
4,0.1,5,23.270587667,0
5,0.1,6,37.1762594814,0
6,0.1,7,15.9065744374,1
7,0.1,8,26.8751244001,0
8,0.1,9,32.6544753737,0
9,0.1,10,27.9708200064,0
10,0.1,11,23.5523924442,1
11,0.1,12,35.1430450907,0
12,0.1,13,27.7684697992,0
13,0.1,14,28.6135814243,0
14,0.1,15,28.2238740593,1
15,0.1,16,33.6904222564,0
16,0.1,17,19.807784138,1
17,0.1,18,30.3275982791,0
18,0.1,19,36.9863448239,0
19,0.1,20,24.8216650925,0
20,0.1,21,36.3768290759,0
21,0.1,22,23.9709901508,0
22,0.1,23,38.8229885984,0
23,0.1,24,13.8779419639,1
24,0.1,25,27.7124739312,0
25,0.1,26,23.6195757019,0
26,0.1,27,38.8575296487,0
27,0.1,28,23.9698312913,0
28,0.1,29,33.1676441337,0
29,0.1,30,23.5924026998,0
30,0.1,31,30.3208509112,0
31,0.1,32,31.6952193782,0
32,0.1,33,33.4967696519,0
33,0.1,34,24.7526314208,1
34,0.1,35,42.5556848542,0
35,0.1,36,18.5740148577,0
36,0.1,37,25.6692818462,1
37,0.1,38,6.11181417004,1
38,0.1,39,31.8937598306,0
39,0.1,40,36.0759986067,0
40,0.1,41,22.5383380372,0
41,0.1,42,28.3120512137,0
42,0.1,43,24.0643507646,0
43,0.1,44,22.6359341238,0
44,0.1,45,30.4523382886,0
45,0.1,46,23.23340515,0
46,0.1,47,43.2655170125,1
47,0.1,48,38.2097254351,0
48,0.1,49,35.558492673,0
49,0.1,50,37.4716250735,0
50,0.1,51,14.7095447396,1
51,0.1,52,23.8155984243,0
52,0.1,53,30.6090198009,0
53,0.1,54,27.1233222131,0
54,0.1,55,26.5593944918,0
55,0.1,56,24.917673564,0
56,0.1,57,46.4264430441,1
57,0.1,58,33.7596743162,0
58,0.1,59,24.4860687499,0
59,0.1,60,30.0980488654,0
60,0.1,61,22.903317326,1
61,0.1,62,40.5422649282,0
62,0.1,63,37.1597961918,0
63,0.1,64,48.0510440188,0
64,0.1,65,25.1756871956,0
65,0.1,66,18.219207792,1
66,0.1,67,10.3459243006,1
67,0.1,68,20.1392964892,1
68,0.1,69,27.2730912275,0
69,0.1,70,35.3115319537,0
70,0.1,71,40.5485002983,0
71,0.1,72,26.1165386966,0
72,0.1,73,42.490093442,0
73,0.1,74,25.1744044311,0
74,0.1,75,41.7724227123,0
75,0.1,76,29.5956840695,0
76,0.1,77,36.526926857,0
77,0.1,78,33.9088977509,0
78,0.1,79,37.8012890155,0
79,0.1,80,34.2574994853,0
80,0.1,81,27.3689955093,0
81,0.1,82,13.0689385379,1
82,0.1,83,39.273822624,0
83,0.1,84,20.5019318394,1
84,0.1,85,14.5706622196,1
85,0.1,86,37.2153054466,0
86,0.1,87,28.5848383622,0
87,0.1,88,12.2052464921,1
88,0.1,89,31.1678068746,0
89,0.1,90,40.8357437869,0
90,0.1,91,12.6301431591,1
91,0.1,92,42.5874373506,0
92,0.1,93,33.1459981842,0
93,0.1,94,29.3695221165,0
94,0.1,95,31.6620689904,1
95,0.1,96,38.5351290954,0
96,0.1,97,12.1495245982,1
97,0.1,98,29.2465742387,0
98,0.1,99,42.2253686374,0
99,0.1,100,37.9950172186,0
100,0.2,1,11.6832991737,1
101,0.2,2,26.7234376221,0
102,0.2,3,23.3522522181,1
103,0.2,4,44.3293980513,0
104,0.2,5,19.836069795,1
105,0.2,6,28.2655566257,0
106,0.2,7,5.60470204718,1
107,0.2,8,23.5907090808,1
108,0.2,9,32.8049099264,1
109,0.2,10,20.0512341505,1
110,0.2,11,17.9700926367,1
111,0.2,12,28.050450513,0
112,0.2,13,31.3686879682,1
113,0.2,14,20.6402805271,1
114,0.2,15,9.38178770617,1
115,0.2,16,18.4373764438,1
116,0.2,17,37.762246254,0
117,0.2,18,32.2429808405,0
118,0.2,19,16.0762192327,1
119,0.2,20,27.0061412469,0
120,0.2,21,38.1422464795,1
121,0.2,22,28.5916020317,1
122,0.2,23,15.5656772735,1
123,0.2,24,16.0803546877,1
124,0.2,25,15.1279392787,1
125,0.2,26,26.3842492605,0
126,0.2,27,14.3249154605,1
127,0.2,28,31.8620250535,0
128,0.2,29,26.5190098063,0
129,0.2,30,22.9566147491,1
130,0.2,31,29.9429407566,1
131,0.2,32,20.439274586,0
132,0.2,33,15.7355178433,1
133,0.2,34,33.0349055253,1
134,0.2,35,36.1306555673,1
135,0.2,36,26.6198931868,0
136,0.2,37,31.7842102083,0
137,0.2,38,23.5661546242,0
138,0.2,39,23.6688409917,1
139,0.2,40,18.8292742542,1
140,0.2,41,23.2758482195,1
141,0.2,42,18.3071588981,1
142,0.2,43,24.3342626974,1
143,0.2,44,6.78006394358,1
144,0.2,45,8.72456218866,1
145,0.2,46,29.9512413789,1
146,0.2,47,14.2999091297,1
147,0.2,48,28.6584409394,1
148,0.2,49,31.370804764,1
149,0.2,50,15.5104443914,1
150,0.2,51,24.9651142046,0
151,0.2,52,9.33484068553,1
152,0.2,53,22.7223872071,1
153,0.2,54,24.1660321738,1
154,0.2,55,8.68640945889,1
155,0.2,56,21.7334350313,1
156,0.2,57,11.768394896,1
157,0.2,58,23.798049113,1
158,0.2,59,18.2541847489,1
159,0.2,60,39.3689779059,0
160,0.2,61,24.7809938288,0
161,0.2,62,19.2364738016,1
162,0.2,63,25.9617775247,0
163,0.2,64,9.999223311,1
164,0.2,65,13.2330000654,1
165,0.2,66,26.2709309905,0
166,0.2,67,17.7037020561,1
167,0.2,68,14.5106173562,1
168,0.2,69,6.39863302632,1
169,0.2,70,25.9744700961,0
170,0.2,71,24.1476251731,0
171,0.2,72,24.3288517967,1
172,0.2,73,34.4628897173,0
173,0.2,74,25.0847461464,1
174,0.2,75,35.0653951214,0
175,0.2,76,34.0610310784,0
