,alpha,decayFunction,decay,epsilon,trial,net_reward,success
0,0.1,power,0.1,0.1,1,-2.01842863148,0
1,0.1,power,0.1,0.1,2,18.8968319052,1
2,0.1,power,0.1,0.1,3,4.88071511386,1
3,0.1,power,0.1,0.1,4,-7.82790679122,1
4,0.1,power,0.1,0.1,5,-50.3500652395,0
5,0.1,power,0.1,0.1,6,-13.1935752367,0
6,0.1,power,0.1,0.1,7,27.581320719,0
7,0.1,power,0.1,0.1,8,26.7744344091,0
8,0.1,power,0.1,0.1,9,28.2904814626,0
9,0.1,power,0.1,0.1,10,10.9374066988,1
10,0.1,power,0.3,0.1,1,29.5263205905,0
11,0.1,power,0.3,0.1,2,4.29546350043,0
12,0.1,power,0.3,0.1,3,9.20750281559,1
13,0.1,power,0.3,0.1,4,-18.6181991529,0
14,0.1,power,0.3,0.1,5,9.83022860832,1
15,0.1,power,0.3,0.1,6,-10.8985466525,0
16,0.1,power,0.3,0.1,7,-103.158489317,0
17,0.1,power,0.3,0.1,8,-11.8103910883,0
18,0.1,power,0.3,0.1,9,-17.3880709368,1
19,0.1,power,0.3,0.1,10,-94.8636234555,0
20,0.1,power,0.5,0.1,1,-37.2893687212,0
21,0.1,power,0.5,0.1,2,-9.50660680025,1
22,0.1,power,0.5,0.1,3,32.8900473411,1
23,0.1,power,0.5,0.1,4,-34.563701721,0
24,0.1,power,0.5,0.1,5,-39.4183508834,0
25,0.1,power,0.5,0.1,6,9.54770369747,0
26,0.1,power,0.5,0.1,7,-13.7807663092,0
27,0.1,power,0.5,0.1,8,3.49822991084,0
28,0.1,power,0.5,0.1,9,18.1628563041,1
29,0.1,power,0.5,0.1,10,-19.0105181726,0
30,0.1,power,0.7,0.1,1,19.258422489,0
31,0.1,power,0.7,0.1,2,10.0410828786,0
32,0.1,power,0.7,0.1,3,17.7116699047,0
33,0.1,power,0.7,0.1,4,-40.6271216307,0
34,0.1,power,0.7,0.1,5,-66.5194152427,0
35,0.1,power,0.7,0.1,6,-31.476693691,0
36,0.1,power,0.7,0.1,7,7.80619275204,1
37,0.1,power,0.7,0.1,8,-75.0256851346,0
38,0.1,power,0.7,0.1,9,-15.6617026684,0
39,0.1,power,0.7,0.1,10,-21.1947946589,0
40,0.1,power,0.9,0.1,1,23.191586516,0
41,0.1,power,0.9,0.1,2,-24.6849309176,0
42,0.1,power,0.9,0.1,3,-73.8645616167,0
43,0.1,power,0.9,0.1,4,24.5312871378,0
44,0.1,power,0.9,0.1,5,-42.077996611,0
45,0.1,power,0.9,0.1,6,17.2206891183,0
46,0.1,power,0.9,0.1,7,27.5859720913,1
47,0.1,power,0.9,0.1,8,26.9561235103,0
48,0.1,power,0.9,0.1,9,30.9803092259,1
49,0.1,power,0.9,0.1,10,10.7548479179,0
50,0.1,power,0.1,0.3,1,9.83526402095,0
51,0.1,power,0.1,0.3,2,-23.5570059724,0
52,0.1,power,0.1,0.3,3,-56.7897958667,1
53,0.1,power,0.1,0.3,4,18.8959767888,1
54,0.1,power,0.1,0.3,5,-73.9791872062,0
55,0.1,power,0.1,0.3,6,-6.71680049939,0
56,0.1,power,0.1,0.3,7,15.719142695,0
57,0.1,power,0.1,0.3,8,24.0535568054,1
58,0.1,power,0.1,0.3,9,6.84436963763,0
59,0.1,power,0.1,0.3,10,17.4016809722,1
60,0.1,power,0.3,0.3,1,6.94493737248,1
61,0.1,power,0.3,0.3,2,-27.3243632234,0
62,0.1,power,0.3,0.3,3,33.2475250315,0
63,0.1,power,0.3,0.3,4,-15.4533851825,0
64,0.1,power,0.3,0.3,5,10.9523136073,0
65,0.1,power,0.3,0.3,6,-15.4930969849,0
66,0.1,power,0.3,0.3,7,-30.7211799344,1
67,0.1,power,0.3,0.3,8,-12.7674324038,0
68,0.1,power,0.3,0.3,9,-59.7146222588,0
69,0.1,power,0.3,0.3,10,22.209608621,0
70,0.1,power,0.5,0.3,1,33.8864877293,0
71,0.1,power,0.5,0.3,2,-2.26350634805,0
72,0.1,power,0.5,0.3,3,-10.055247823,0
73,0.1,power,0.5,0.3,4,-1.34525577853,0
74,0.1,power,0.5,0.3,5,15.4260503062,0
75,0.1,power,0.5,0.3,6,9.12440706612,0
76,0.1,power,0.5,0.3,7,3.30491322882,1
77,0.1,power,0.5,0.3,8,23.9789668427,0
78,0.1,power,0.5,0.3,9,22.8269678876,0
79,0.1,power,0.5,0.3,10,-38.8750928155,0
80,0.1,power,0.7,0.3,1,19.9422837626,0
81,0.1,power,0.7,0.3,2,12.6453670464,1
82,0.1,power,0.7,0.3,3,-35.5731096529,0
83,0.1,power,0.7,0.3,4,4.1030236838,1
84,0.1,power,0.7,0.3,5,-42.6376305239,0
85,0.1,power,0.7,0.3,6,17.1811501756,1
86,0.1,power,0.7,0.3,7,29.4695505762,1
87,0.1,power,0.7,0.3,8,15.4668742828,1
88,0.1,power,0.7,0.3,9,-25.2908619049,0
89,0.1,power,0.7,0.3,10,20.5325084684,0
90,0.1,power,0.9,0.3,1,-3.59787362228,1
91,0.1,power,0.9,0.3,2,7.02153803601,1
92,0.1,power,0.9,0.3,3,24.2188938807,1
93,0.1,power,0.9,0.3,4,22.3314770597,1
94,0.1,power,0.9,0.3,5,-3.38290599831,1
95,0.1,power,0.9,0.3,6,25.3800751765,0
96,0.1,power,0.9,0.3,7,-46.9588047948,0
97,0.1,power,0.9,0.3,8,6.83231964932,1
98,0.1,power,0.9,0.3,9,29.8734349032,0
99,0.1,power,0.9,0.3,10,9.25924908717,0
100,0.1,power,0.1,0.5,1,39.6375537351,0
101,0.1,power,0.1,0.5,2,9.25805890256,0
102,0.1,power,0.1,0.5,3,-17.6076456018,0
103,0.1,power,0.1,0.5,4,13.7305006157,1
104,0.1,power,0.1,0.5,5,-100.183938367,0
105,0.1,power,0.1,0.5,6,31.2862238567,1
106,0.1,power,0.1,0.5,7,18.2591491019,0
107,0.1,power,0.1,0.5,8,16.3284327625,1
108,0.1,power,0.1,0.5,9,15.6494964506,0
109,0.1,power,0.1,0.5,10,16.4390248396,1
110,0.1,power,0.3,0.5,1,6.36301797319,1
111,0.1,power,0.3,0.5,2,9.6204538741,0
112,0.1,power,0.3,0.5,3,-16.8369897351,0
113,0.1,power,0.3,0.5,4,-9.91101037122,0
114,0.1,power,0.3,0.5,5,5.62368324269,0
115,0.1,power,0.3,0.5,6,25.3612933489,1
116,0.1,power,0.3,0.5,7,-22.1008664264,1
117,0.1,power,0.3,0.5,8,-7.44135172211,1
118,0.1,power,0.3,0.5,9,28.8712199825,1
119,0.1,power,0.3,0.5,10,19.5479365196,0
120,0.1,power,0.5,0.5,1,23.0449312935,0
121,0.1,power,0.5,0.5,2,-45.5880268744,0
122,0.1,power,0.5,0.5,3,-15.5398136591,0
123,0.1,power,0.5,0.5,4,29.6903579448,0
124,0.1,power,0.5,0.5,5,23.9417544379,0
125,0.1,power,0.5,0.5,6,20.1157722794,0
126,0.1,power,0.5,0.5,7,9.18943181562,1
127,0.1,power,0.5,0.5,8,20.8366673421,0
128,0.1,power,0.5,0.5,9,-44.3380842095,0
129,0.1,power,0.5,0.5,10,-4.49337427494,1
130,0.1,power,0.7,0.5,1,11.1165066959,1
131,0.1,power,0.7,0.5,2,-13.7299149237,0
132,0.1,power,0.7,0.5,3,-18.1584966841,0
133,0.1,power,0.7,0.5,4,-26.702059729,1
134,0.1,power,0.7,0.5,5,-21.8627170893,1
135,0.1,power,0.7,0.5,6,-51.2981319514,0
136,0.1,power,0.7,0.5,7,-31.9524398615,0
137,0.1,power,0.7,0.5,8,8.97845946635,0
138,0.1,power,0.7,0.5,9,23.2159104729,0
139,0.1,power,0.7,0.5,10,3.23262382113,0
140,0.1,power,0.9,0.5,1,-0.921529751323,0
141,0.1,power,0.9,0.5,2,-12.420250047,1
142,0.1,power,0.9,0.5,3,-10.8181074577,1
143,0.1,power,0.9,0.5,4,6.52705269146,0
144,0.1,power,0.9,0.5,5,6.40667346359,0
145,0.1,power,0.9,0.5,6,10.707768006,1
146,0.1,power,0.9,0.5,7,35.7607370748,0
147,0.1,power,0.9,0.5,8,-16.3131817066,0
148,0.1,power,0.9,0.5,9,-36.8337424489,0
149,0.1,power,0.9,0.5,10,5.43168414111,1
150,0.1,power,0.1,0.7,1,9.51047548004,1
151,0.1,power,0.1,0.7,2,21.1824508606,1
152,0.1,power,0.1,0.7,3,18.5352442356,0
153,0.1,power,0.1,0.7,4,-21.6906205186,0
154,0.1,power,0.1,0.7,5,0.489040401101,0
155,0.1,power,0.1,0.7,6,20.7886326531,0
156,0.1,power,0.1,0.7,7,5.82908990661,1
157,0.1,power,0.1,0.7,8,32.7482156948,0
158,0.1,power,0.1,0.7,9,13.9774021495,0
159,0.1,power,0.1,0.7,10,-70.4814475305,0
160,0.1,power,0.3,0.7,1,-4.65481079433,0
161,0.1,power,0.3,0.7,2,4.10277587858,1
162,0.1,power,0.3,0.7,3,17.1971447542,0
163,0.1,power,0.3,0.7,4,19.7058393131,0
164,0.1,power,0.3,0.7,5,-22.8497049732,0
165,0.1,power,0.3,0.7,6,-3.55312312441,0
166,0.1,power,0.3,0.7,7,29.164557837,1
167,0.1,power,0.3,0.7,8,-6.39372805779,0
168,0.1,power,0.3,0.7,9,21.4863801893,1
169,0.1,power,0.3,0.7,10,9.16899212129,1
170,0.1,power,0.5,0.7,1,-29.7200449549,0
171,0.1,power,0.5,0.7,2,0.243350965953,0
172,0.1,power,0.5,0.7,3,7.85515498644,1
173,0.1,power,0.5,0.7,4,23.8172695532,0
174,0.1,power,0.5,0.7,5,20.579769518,0
175,0.1,power,0.5,0.7,6,22.5641654019,0
176,0.1,power,0.5,0.7,7,-39.7560906708,0
177,0.1,power,0.5,0.7,8,-24.5890723377,1
178,0.1,power,0.5,0.7,9,23.5656817281,0
179,0.1,power,0.5,0.7,10,-21.9012300532,0
180,0.1,power,0.7,0.7,1,37.4322991117,0
181,0.1,power,0.7,0.7,2,3.00224056275,0
182,0.1,power,0.7,0.7,3,-31.1317755186,0
183,0.1,power,0.7,0.7,4,-15.9292150495,0
184,0.1,power,0.7,0.7,5,9.17484457931,0
185,0.1,power,0.7,0.7,6,22.0482420147,1
186,0.1,power,0.7,0.7,7,13.8916389625,0
187,0.1,power,0.7,0.7,8,-55.7675567383,0
188,0.1,power,0.7,0.7,9,-17.3455957067,0
189,0.1,power,0.7,0.7,10,7.91595017135,0
190,0.1,power,0.9,0.7,1,-63.9807857012,1
191,0.1,power,0.9,0.7,2,-0.207099428018,0
192,0.1,power,0.9,0.7,3,24.9892416993,1
193,0.1,power,0.9,0.7,4,-14.9765030283,0
194,0.1,power,0.9,0.7,5,26.6878744341,0
195,0.1,power,0.9,0.7,6,17.9826144169,1
196,0.1,power,0.9,0.7,7,-18.2583354094,1
197,0.1,power,0.9,0.7,8,-27.5134691409,0
198,0.1,power,0.9,0.7,9,-129.572983133,0
199,0.1,power,0.9,0.7,10,-22.8486752281,0
200,0.1,power,0.1,0.9,1,-1.6401367591,0
201,0.1,power,0.1,0.9,2,8.39139339071,0
202,0.1,power,0.1,0.9,3,18.9287295207,0
203,0.1,power,0.1,0.9,4,-36.7930070552,0
204,0.1,power,0.1,0.9,5,-13.6462050498,0
205,0.1,power,0.1,0.9,6,13.5665843536,1
206,0.1,power,0.1,0.9,7,-29.1688020842,0
207,0.1,power,0.1,0.9,8,31.5324835774,1
208,0.1,power,0.1,0.9,9,32.6014036117,0
209,0.1,power,0.1,0.9,10,5.73873094365,0
210,0.1,power,0.3,0.9,1,20.2432117317,1
211,0.1,power,0.3,0.9,2,-64.0306616334,0
212,0.1,power,0.3,0.9,3,15.6758085213,0
213,0.1,power,0.3,0.9,4,-13.3269306294,0
214,0.1,power,0.3,0.9,5,-14.6886561841,0
215,0.1,power,0.3,0.9,6,20.0785208296,0
216,0.1,power,0.3,0.9,7,-15.9584732733,1
217,0.1,power,0.3,0.9,8,9.46293649189,0
218,0.1,power,0.3,0.9,9,8.87254391706,1
219,0.1,power,0.3,0.9,10,-17.6422708462,1
220,0.1,power,0.5,0.9,1,13.5700184467,0
221,0.1,power,0.5,0.9,2,12.2540917629,1
222,0.1,power,0.5,0.9,3,7.7153818357,1
223,0.1,power,0.5,0.9,4,11.8579075916,0
224,0.1,power,0.5,0.9,5,-24.8540311761,1
225,0.1,power,0.5,0.9,6,8.20950217634,0
226,0.1,power,0.5,0.9,7,-69.743616413,0
227,0.1,power,0.5,0.9,8,-21.0583245823,0
228,0.1,power,0.5,0.9,9,-114.675914539,0
229,0.1,power,0.5,0.9,10,21.1342474622,0
230,0.1,power,0.7,0.9,1,-47.9619713946,0
