,alpha,decayFunction,decay,epsilon,trial,net_reward,success
0,0.1,power,0.1,0.1,1,-38.5256995684,0
1,0.1,power,0.1,0.1,2,-102.03855857,0
2,0.1,power,0.1,0.1,3,-11.1323823719,1
3,0.1,power,0.1,0.1,4,-41.4266462298,1
4,0.1,power,0.1,0.1,5,-70.9642878138,1
5,0.1,power,0.1,0.1,6,-34.3394499434,0
6,0.1,power,0.1,0.1,7,-180.298972012,0
7,0.1,power,0.1,0.1,8,-51.3637807532,0
8,0.1,power,0.1,0.1,9,-126.7792278,0
9,0.1,power,0.1,0.1,10,-113.330375984,1
10,0.1,power,0.3,0.1,1,-143.165195664,0
11,0.1,power,0.3,0.1,2,-62.9110283646,1
12,0.1,power,0.3,0.1,3,-225.670943523,0
13,0.1,power,0.3,0.1,4,-218.995772182,0
14,0.1,power,0.3,0.1,5,-64.5362107745,0
15,0.1,power,0.3,0.1,6,-33.6888182989,1
16,0.1,power,0.3,0.1,7,-71.525835795,0
17,0.1,power,0.3,0.1,8,-189.347533002,0
18,0.1,power,0.3,0.1,9,-265.867896866,0
19,0.1,power,0.3,0.1,10,-119.429147939,0
20,0.1,power,0.5,0.1,1,-187.294165568,0
21,0.1,power,0.5,0.1,2,-52.0134964439,1
22,0.1,power,0.5,0.1,3,-241.664664696,0
23,0.1,power,0.5,0.1,4,-108.276226008,0
24,0.1,power,0.5,0.1,5,-137.735355075,0
25,0.1,power,0.5,0.1,6,-200.242527538,0
26,0.1,power,0.5,0.1,7,-135.841870492,0
27,0.1,power,0.5,0.1,8,-116.521036414,0
28,0.1,power,0.5,0.1,9,-79.775233845,0
29,0.1,power,0.5,0.1,10,-27.3778616727,0
30,0.1,power,0.7,0.1,1,-65.8731342924,1
31,0.1,power,0.7,0.1,2,-82.1960955565,0
32,0.1,power,0.7,0.1,3,7.54720193894,1
33,0.1,power,0.7,0.1,4,-136.599093679,0
34,0.1,power,0.7,0.1,5,-161.471025061,0
35,0.1,power,0.7,0.1,6,-247.211903266,0
36,0.1,power,0.7,0.1,7,-169.245984195,1
37,0.1,power,0.7,0.1,8,-45.9631336501,1
38,0.1,power,0.7,0.1,9,-1.50260015285,1
39,0.1,power,0.7,0.1,10,-48.2314037324,1
40,0.1,power,0.9,0.1,1,-113.24029319,0
41,0.1,power,0.9,0.1,2,-52.6213365819,1
42,0.1,power,0.9,0.1,3,-79.3736019049,0
43,0.1,power,0.9,0.1,4,-173.076743899,0
44,0.1,power,0.9,0.1,5,-137.809535869,0
45,0.1,power,0.9,0.1,6,-72.1992641337,0
46,0.1,power,0.9,0.1,7,-79.8160920589,1
47,0.1,power,0.9,0.1,8,-12.5373406349,1
48,0.1,power,0.9,0.1,9,-141.236890591,0
49,0.1,power,0.9,0.1,10,-54.8940479428,0
50,0.1,power,0.1,0.3,1,-26.7958826636,0
51,0.1,power,0.1,0.3,2,-170.599401266,0
52,0.1,power,0.1,0.3,3,-126.961362087,0
53,0.1,power,0.1,0.3,4,-268.119082168,0
54,0.1,power,0.1,0.3,5,-148.950450558,0
55,0.1,power,0.1,0.3,6,-63.3093206607,0
56,0.1,power,0.1,0.3,7,-253.463204705,0
57,0.1,power,0.1,0.3,8,-71.3570393366,0
58,0.1,power,0.1,0.3,9,-251.329598586,0
59,0.1,power,0.1,0.3,10,-46.3859969349,0
60,0.1,power,0.3,0.3,1,-241.067501465,0
61,0.1,power,0.3,0.3,2,-172.170186795,1
62,0.1,power,0.3,0.3,3,-161.186174257,0
63,0.1,power,0.3,0.3,4,-109.664828144,0
64,0.1,power,0.3,0.3,5,-59.4778537179,1
65,0.1,power,0.3,0.3,6,-193.823841987,0
66,0.1,power,0.3,0.3,7,-141.225890545,0
67,0.1,power,0.3,0.3,8,-91.7864849427,1
68,0.1,power,0.3,0.3,9,10.8151810471,1
69,0.1,power,0.3,0.3,10,-27.8741758475,1
70,0.1,power,0.5,0.3,1,-156.651163084,0
71,0.1,power,0.5,0.3,2,-99.9851059214,0
72,0.1,power,0.5,0.3,3,-54.5257286442,1
73,0.1,power,0.5,0.3,4,-84.017576605,0
74,0.1,power,0.5,0.3,5,-124.671531283,1
75,0.1,power,0.5,0.3,6,-157.448179271,0
76,0.1,power,0.5,0.3,7,-161.832041368,0
77,0.1,power,0.5,0.3,8,-145.627001292,0
78,0.1,power,0.5,0.3,9,-283.567776704,0
79,0.1,power,0.5,0.3,10,-20.8644907553,1
80,0.1,power,0.7,0.3,1,-134.097391322,0
81,0.1,power,0.7,0.3,2,-63.4383736453,1
82,0.1,power,0.7,0.3,3,-189.838137825,0
83,0.1,power,0.7,0.3,4,-164.272220624,0
84,0.1,power,0.7,0.3,5,-38.8713891865,1
85,0.1,power,0.7,0.3,6,-226.553735258,0
86,0.1,power,0.7,0.3,7,-104.018007842,0
87,0.1,power,0.7,0.3,8,-88.9800198716,0
88,0.1,power,0.7,0.3,9,-80.6591632448,0
89,0.1,power,0.7,0.3,10,-71.8316612501,1
90,0.1,power,0.9,0.3,1,-102.829046688,0
91,0.1,power,0.9,0.3,2,-126.477634111,0
92,0.1,power,0.9,0.3,3,-16.8032365183,0
93,0.1,power,0.9,0.3,4,-65.4466941832,0
94,0.1,power,0.9,0.3,5,-151.129438155,0
95,0.1,power,0.9,0.3,6,-142.478588569,1
96,0.1,power,0.9,0.3,7,-74.5961839583,0
97,0.1,power,0.9,0.3,8,-51.3227716625,0
98,0.1,power,0.9,0.3,9,5.97499248736,1
99,0.1,power,0.9,0.3,10,4.89389994708,0
100,0.1,power,0.1,0.5,1,-186.57200578,0
101,0.1,power,0.1,0.5,2,-327.16237536,0
102,0.1,power,0.1,0.5,3,-118.145120728,0
103,0.1,power,0.1,0.5,4,-110.773000315,0
104,0.1,power,0.1,0.5,5,-86.8672508827,0
105,0.1,power,0.1,0.5,6,-167.94232992,0
106,0.1,power,0.1,0.5,7,-84.6984803859,0
107,0.1,power,0.1,0.5,8,-85.3065636515,0
108,0.1,power,0.1,0.5,9,-212.828377314,0
109,0.1,power,0.1,0.5,10,-67.0478990677,0
110,0.1,power,0.3,0.5,1,-128.770932569,0
111,0.1,power,0.3,0.5,2,-240.029330898,0
112,0.1,power,0.3,0.5,3,-117.924762312,0
113,0.1,power,0.3,0.5,4,-342.765024097,0
114,0.1,power,0.3,0.5,5,-158.697750228,0
115,0.1,power,0.3,0.5,6,-69.6655101487,1
116,0.1,power,0.3,0.5,7,-100.251312188,0
117,0.1,power,0.3,0.5,8,-149.912557032,0
118,0.1,power,0.3,0.5,9,-91.5249122091,1
119,0.1,power,0.3,0.5,10,-105.897471009,0
120,0.1,power,0.5,0.5,1,-175.852908176,0
121,0.1,power,0.5,0.5,2,-189.224124442,0
122,0.1,power,0.5,0.5,3,-219.479074703,0
123,0.1,power,0.5,0.5,4,-119.34212755,0
124,0.1,power,0.5,0.5,5,-84.76300413,1
125,0.1,power,0.5,0.5,6,-279.879983716,0
126,0.1,power,0.5,0.5,7,-35.5763113907,0
127,0.1,power,0.5,0.5,8,-52.9222259646,0
128,0.1,power,0.5,0.5,9,-103.210710043,0
129,0.1,power,0.5,0.5,10,-74.5618058977,0
130,0.1,power,0.7,0.5,1,-78.4593100582,1
131,0.1,power,0.7,0.5,2,-243.72539953,1
132,0.1,power,0.7,0.5,3,-141.080138471,0
133,0.1,power,0.7,0.5,4,-152.852946656,0
134,0.1,power,0.7,0.5,5,-152.986525389,0
135,0.1,power,0.7,0.5,6,-267.226963724,0
136,0.1,power,0.7,0.5,7,-152.268164516,1
137,0.1,power,0.7,0.5,8,-199.465727411,0
138,0.1,power,0.7,0.5,9,-177.583844952,0
139,0.1,power,0.7,0.5,10,-219.250706636,0
140,0.1,power,0.9,0.5,1,-72.2157113494,0
141,0.1,power,0.9,0.5,2,-117.378206954,1
142,0.1,power,0.9,0.5,3,-6.25217615707,1
143,0.1,power,0.9,0.5,4,-41.2138952543,0
144,0.1,power,0.9,0.5,5,-142.039908668,0
145,0.1,power,0.9,0.5,6,-120.230923705,0
146,0.1,power,0.9,0.5,7,-7.92164233614,0
147,0.1,power,0.9,0.5,8,12.4939332666,1
148,0.1,power,0.9,0.5,9,-177.330695454,0
149,0.1,power,0.9,0.5,10,-27.5252146195,0
150,0.1,power,0.1,0.7,1,-161.09331179,0
151,0.1,power,0.1,0.7,2,-110.071983487,0
152,0.1,power,0.1,0.7,3,-215.073117343,0
153,0.1,power,0.1,0.7,4,-141.204263122,1
154,0.1,power,0.1,0.7,5,-66.8016296579,0
155,0.1,power,0.1,0.7,6,-241.93981997,0
156,0.1,power,0.1,0.7,7,-249.551306373,0
157,0.1,power,0.1,0.7,8,-62.018505382,0
158,0.1,power,0.1,0.7,9,10.4746934074,1
159,0.1,power,0.1,0.7,10,-72.1439674924,0
160,0.1,power,0.3,0.7,1,-156.569444062,0
161,0.1,power,0.3,0.7,2,-180.351601293,0
162,0.1,power,0.3,0.7,3,-79.0652800234,0
163,0.1,power,0.3,0.7,4,-117.747003127,0
164,0.1,power,0.3,0.7,5,-96.6365985777,0
165,0.1,power,0.3,0.7,6,-64.4691282336,1
166,0.1,power,0.3,0.7,7,-98.0058806167,0
167,0.1,power,0.3,0.7,8,-51.8281269959,1
168,0.1,power,0.3,0.7,9,-162.16416304,0
169,0.1,power,0.3,0.7,10,-116.769788377,1
170,0.1,power,0.5,0.7,1,-184.353862814,0
171,0.1,power,0.5,0.7,2,-166.960673675,1
172,0.1,power,0.5,0.7,3,-63.0208991324,1
173,0.1,power,0.5,0.7,4,-50.2535359875,1
174,0.1,power,0.5,0.7,5,-138.552883514,0
175,0.1,power,0.5,0.7,6,-69.9477108279,0
176,0.1,power,0.5,0.7,7,-66.9442198684,0
177,0.1,power,0.5,0.7,8,-145.529422799,0
178,0.1,power,0.5,0.7,9,-113.907349934,1
179,0.1,power,0.5,0.7,10,-30.5332720503,1
180,0.1,power,0.7,0.7,1,-125.701877571,0
181,0.1,power,0.7,0.7,2,-134.900298149,0
182,0.1,power,0.7,0.7,3,-175.608136075,0
183,0.1,power,0.7,0.7,4,-140.640595832,1
184,0.1,power,0.7,0.7,5,-107.737433099,1
185,0.1,power,0.7,0.7,6,-135.501054754,0
186,0.1,power,0.7,0.7,7,-45.427842479,0
187,0.1,power,0.7,0.7,8,8.52506582562,1
188,0.1,power,0.7,0.7,9,-120.519235066,1
189,0.1,power,0.7,0.7,10,-91.5907049123,0
190,0.1,power,0.9,0.7,1,-141.531100539,0
191,0.1,power,0.9,0.7,2,-38.9747972167,0
192,0.1,power,0.9,0.7,3,-36.583493712,1
193,0.1,power,0.9,0.7,4,-20.3751073927,0
194,0.1,power,0.9,0.7,5,-70.2808428475,0
195,0.1,power,0.9,0.7,6,-47.2242820563,0
196,0.1,power,0.9,0.7,7,-69.8474335575,1
197,0.1,power,0.9,0.7,8,-58.9025830428,1
198,0.1,power,0.9,0.7,9,-47.557033669,0
199,0.1,power,0.9,0.7,10,-94.14539165,0
200,0.1,power,0.1,0.9,1,-181.19367118,0
201,0.1,power,0.1,0.9,2,-115.374326418,0
202,0.1,power,0.1,0.9,3,-178.045975202,0
203,0.1,power,0.1,0.9,4,-57.7398767642,1
204,0.1,power,0.1,0.9,5,-175.322352811,0
205,0.1,power,0.1,0.9,6,-244.973402136,0
206,0.1,power,0.1,0.9,7,-227.261396742,0
207,0.1,power,0.1,0.9,8,-235.287072002,1
208,0.1,power,0.1,0.9,9,-110.141843821,1
209,0.1,power,0.1,0.9,10,-90.2740111838,0
210,0.1,power,0.3,0.9,1,-128.300962046,0
211,0.1,power,0.3,0.9,2,-33.6049554642,1
212,0.1,power,0.3,0.9,3,-301.549278554,0
213,0.1,power,0.3,0.9,4,-23.4166429061,1
214,0.1,power,0.3,0.9,5,-164.108236057,0
215,0.1,power,0.3,0.9,6,-38.7322219577,0
216,0.1,power,0.3,0.9,7,-113.339651657,0
217,0.1,power,0.3,0.9,8,-92.7819998067,0
218,0.1,power,0.3,0.9,9,-34.3873639807,0
219,0.1,power,0.3,0.9,10,-59.0679739187,1
220,0.1,power,0.5,0.9,1,-85.2066257933,0
221,0.1,power,0.5,0.9,2,-243.730006713,0
222,0.1,power,0.5,0.9,3,-200.629290883,0
223,0.1,power,0.5,0.9,4,-2.79599589825,1
224,0.1,power,0.5,0.9,5,-89.0463524828,0
225,0.1,power,0.5,0.9,6,-199.340627169,0
226,0.1,power,0.5,0.9,7,-182.427109049,0
227,0.1,power,0.5,0.9,8,-111.360644492,0
228,0.1,power,0.5,0.9,9,-156.534320631,0
229,0.1,power,0.5,0.9,10,-118.90213062,0
230,0.1,power,0.7,0.9,1,-213.858868274,0
231,0.1,power,0.7,0.9,2,-26.7253721082,1
232,0.1,power,0.7,0.9,3,-240.148034984,0
233,0.1,power,0.7,0.9,4,-120.824039444,0
234,0.1,power,0.7,0.9,5,-72.0896131713,0
235,0.1,power,0.7,0.9,6,-89.1989427889,1
236,0.1,power,0.7,0.9,7,-161.780698397,0
237,0.1,power,0.7,0.9,8,-116.889281188,0
238,0.1,power,0.7,0.9,9,-48.7761335139,0
239,0.1,power,0.7,0.9,10,-50.9309724361,1
240,0.1,power,0.9,0.9,1,-73.7327862074,1
241,0.1,power,0.9,0.9,2,-113.856827192,1
242,0.1,power,0.9,0.9,3,-138.704509323,0
243,0.1,power,0.9,0.9,4,-9.05210014601,0
244,0.1,power,0.9,0.9,5,-85.3542883717,0
245,0.1,power,0.9,0.9,6,-15.8890312376,0
246,0.1,power,0.9,0.9,7,-60.9083453905,1
247,0.1,power,0.9,0.9,8,-0.306374511475,0
248,0.1,power,0.9,0.9,9,-44.5992480343,0
249,0.1,power,0.9,0.9,10,-11.8979266153,1
250,0.3,power,0.1,0.1,1,15.350183706,1
251,0.3,power,0.1,0.1,2,5.12824121423,1
252,0.3,power,0.1,0.1,3,-127.225840414,0
253,0.3,power,0.1,0.1,4,-60.8482754479,1
254,0.3,power,0.1,0.1,5,-84.9965056111,0
255,0.3,power,0.1,0.1,6,-235.720487111,0
256,0.3,power,0.1,0.1,7,-264.898481735,0
257,0.3,power,0.1,0.1,8,1.7993533612,0
258,0.3,power,0.1,0.1,9,-52.3597311038,0
259,0.3,power,0.1,0.1,10,-28.4604351749,1
260,0.3,power,0.3,0.1,1,-45.4601121255,1
261,0.3,power,0.3,0.1,2,-116.430282672,0
262,0.3,power,0.3,0.1,3,-75.8558913847,0
263,0.3,power,0.3,0.1,4,-134.472710139,0
264,0.3,power,0.3,0.1,5,-115.479872374,0
265,0.3,power,0.3,0.1,6,-129.751776115,0
266,0.3,power,0.3,0.1,7,-170.901192651,0
267,0.3,power,0.3,0.1,8,-64.8300641709,1
268,0.3,power,0.3,0.1,9,-127.946219558,0
269,0.3,power,0.3,0.1,10,-53.0533838396,0
270,0.3,power,0.5,0.1,1,-45.1562385955,0
271,0.3,power,0.5,0.1,2,-157.489162613,0
272,0.3,power,0.5,0.1,3,-105.886626061,1
273,0.3,power,0.5,0.1,4,-159.208700184,1
274,0.3,power,0.5,0.1,5,-85.8774920955,1
275,0.3,power,0.5,0.1,6,-144.417817436,0
276,0.3,power,0.5,0.1,7,-141.7914286,0
277,0.3,power,0.5,0.1,8,-220.744309158,0
278,0.3,power,0.5,0.1,9,-4.3237316781,1
279,0.3,power,0.5,0.1,10,-102.260732656,1
280,0.3,power,0.7,0.1,1,14.8621553565,0
281,0.3,power,0.7,0.1,2,-167.304911965,0
282,0.3,power,0.7,0.1,3,7.31203254764,1
283,0.3,power,0.7,0.1,4,-76.9858963281,0
284,0.3,power,0.7,0.1,5,-70.6595879402,0
285,0.3,power,0.7,0.1,6,-120.070659222,0
286,0.3,power,0.7,0.1,7,-208.846167285,0
287,0.3,power,0.7,0.1,8,-215.255865409,0
288,0.3,power,0.7,0.1,9,-71.0532816389,0
289,0.3,power,0.7,0.1,10,-90.0852190698,0
290,0.3,power,0.9,0.1,1,-114.846248166,0
291,0.3,power,0.9,0.1,2,-94.6600461968,0
292,0.3,power,0.9,0.1,3,-146.6699919,0
293,0.3,power,0.9,0.1,4,-127.720819181,0
294,0.3,power,0.9,0.1,5,-63.1296424532,1
295,0.3,power,0.9,0.1,6,-34.7338615478,1
296,0.3,power,0.9,0.1,7,-26.6324441733,1
297,0.3,power,0.9,0.1,8,-86.070621272,0
298,0.3,power,0.9,0.1,9,-49.8447990546,0
299,0.3,power,0.9,0.1,10,-95.1923117652,0
300,0.3,power,0.1,0.3,1,-2.46480855457,0
301,0.3,power,0.1,0.3,2,-161.467559642,0
302,0.3,power,0.1,0.3,3,-30.128940985,0
303,0.3,power,0.1,0.3,4,-211.317448537,0
304,0.3,power,0.1,0.3,5,-156.783498444,0
305,0.3,power,0.1,0.3,6,-72.0279203181,0
306,0.3,power,0.1,0.3,7,-178.900515874,0
307,0.3,power,0.1,0.3,8,-120.775300573,0
308,0.3,power,0.1,0.3,9,-159.344432999,0
309,0.3,power,0.1,0.3,10,-217.836007462,0
310,0.3,power,0.3,0.3,1,-152.867715119,0
311,0.3,power,0.3,0.3,2,-96.4915921304,0
312,0.3,power,0.3,0.3,3,-162.306357896,0
313,0.3,power,0.3,0.3,4,-242.025898559,0
314,0.3,power,0.3,0.3,5,-142.316746721,0
315,0.3,power,0.3,0.3,6,-31.5722996279,1
316,0.3,power,0.3,0.3,7,-142.060556698,0
317,0.3,power,0.3,0.3,8,-97.0769262891,0
318,0.3,power,0.3,0.3,9,12.3615896694,1
319,0.3,power,0.3,0.3,10,-118.722277986,1
320,0.3,power,0.5,0.3,1,-315.592481496,1
321,0.3,power,0.5,0.3,2,-56.2776809004,0
322,0.3,power,0.5,0.3,3,-112.739874089,0
323,0.3,power,0.5,0.3,4,-207.152091485,0
324,0.3,power,0.5,0.3,5,-18.915583276,1
325,0.3,power,0.5,0.3,6,-128.350971987,0
326,0.3,power,0.5,0.3,7,-83.8382558187,1
327,0.3,power,0.5,0.3,8,-169.897447816,0
328,0.3,power,0.5,0.3,9,-110.654904574,1
329,0.3,power,0.5,0.3,10,-83.8342787177,0
330,0.3,power,0.7,0.3,1,-135.328619763,0
331,0.3,power,0.7,0.3,2,-152.700154681,0
332,0.3,power,0.7,0.3,3,-102.237869647,0
333,0.3,power,0.7,0.3,4,-258.12475868,0
334,0.3,power,0.7,0.3,5,-135.648307237,0
335,0.3,power,0.7,0.3,6,-39.0690369975,0
336,0.3,power,0.7,0.3,7,-76.5129160261,0
337,0.3,power,0.7,0.3,8,-144.845900619,0
338,0.3,power,0.7,0.3,9,-48.7843304803,1
339,0.3,power,0.7,0.3,10,-98.2184764152,0
340,0.3,power,0.9,0.3,1,-115.695324057,0
341,0.3,power,0.9,0.3,2,-110.243001864,0
342,0.3,power,0.9,0.3,3,-5.95165086834,1
343,0.3,power,0.9,0.3,4,-91.0574294081,0
344,0.3,power,0.9,0.3,5,-57.6140990548,1
345,0.3,power,0.9,0.3,6,-133.977701004,1
346,0.3,power,0.9,0.3,7,-61.4343910342,0
347,0.3,power,0.9,0.3,8,8.09324180259,1
348,0.3,power,0.9,0.3,9,-137.218151547,0
349,0.3,power,0.9,0.3,10,-66.897408344,0
350,0.3,power,0.1,0.5,1,-146.246842217,1
351,0.3,power,0.1,0.5,2,-55.0826851039,1
352,0.3,power,0.1,0.5,3,-60.7452188091,1
353,0.3,power,0.1,0.5,4,-156.77637973,0
354,0.3,power,0.1,0.5,5,-75.1061503087,0
355,0.3,power,0.1,0.5,6,-154.756510652,0
356,0.3,power,0.1,0.5,7,-121.393754006,0
357,0.3,power,0.1,0.5,8,-243.661673695,0
358,0.3,power,0.1,0.5,9,-109.980050352,1
359,0.3,power,0.1,0.5,10,-53.5339382025,1
360,0.3,power,0.3,0.5,1,-85.0797215783,0
361,0.3,power,0.3,0.5,2,-45.2497615756,1
362,0.3,power,0.3,0.5,3,-131.303416778,0
363,0.3,power,0.3,0.5,4,-280.029578388,0
364,0.3,power,0.3,0.5,5,-3.00440672533,1
365,0.3,power,0.3,0.5,6,-107.927438524,0
366,0.3,power,0.3,0.5,7,-141.876253795,0
367,0.3,power,0.3,0.5,8,-146.383968367,0
368,0.3,power,0.3,0.5,9,-185.229411148,0
369,0.3,power,0.3,0.5,10,-71.1216054395,1
370,0.3,power,0.5,0.5,1,-31.1176331562,1
371,0.3,power,0.5,0.5,2,-167.670949902,0
372,0.3,power,0.5,0.5,3,-132.76094102,0
373,0.3,power,0.5,0.5,4,-171.530491837,0
374,0.3,power,0.5,0.5,5,-246.579057401,0
375,0.3,power,0.5,0.5,6,-86.7461384234,1
376,0.3,power,0.5,0.5,7,-312.929828643,0
377,0.3,power,0.5,0.5,8,-75.1383511098,1
378,0.3,power,0.5,0.5,9,-111.872818234,1
379,0.3,power,0.5,0.5,10,-23.8613402337,0
380,0.3,power,0.7,0.5,1,-168.551845823,0
381,0.3,power,0.7,0.5,2,-2.83485847598,1
382,0.3,power,0.7,0.5,3,-47.1674414527,1
383,0.3,power,0.7,0.5,4,-180.018175788,0
384,0.3,power,0.7,0.5,5,-120.202266884,0
385,0.3,power,0.7,0.5,6,-78.9631213357,1
386,0.3,power,0.7,0.5,7,-135.816464164,0
387,0.3,power,0.7,0.5,8,-109.009936042,0
388,0.3,power,0.7,0.5,9,-109.941838525,0
389,0.3,power,0.7,0.5,10,-70.2278936359,0
390,0.3,power,0.9,0.5,1,-117.782983909,0
