,alpha,decayFunction,decay,epsilon,trainedTurns
0,0.7,power,0.3,0.1,20
1,0.9,power,0.1,0.3,20
2,0.3,power,0.5,0.1,20
3,0.5,power,0.9,0.7,20
4,0.5,power,0.7,0.3,20
5,0.5,power,0.9,0.9,20
6,0.1,power,0.3,0.1,20
7,0.9,power,0.5,0.5,20
8,0.1,power,0.1,0.5,20
9,0.3,power,0.1,0.7,20
10,0.3,power,0.9,0.1,20
11,0.1,power,0.5,0.1,20
12,0.3,power,0.3,0.1,20
13,0.9,power,0.7,0.5,20
14,0.3,power,0.3,0.9,20
15,0.5,power,0.7,0.5,20
16,0.3,power,0.9,0.5,20
17,0.9,power,0.3,0.9,20
18,0.7,power,0.3,0.9,20
19,0.5,power,0.1,0.3,20
20,0.1,power,0.9,0.9,20
21,0.5,power,0.1,0.1,20
22,0.7,power,0.7,0.7,20
23,0.9,power,0.7,0.3,20
24,0.7,power,0.9,0.1,20
25,0.1,power,0.7,0.1,20
26,0.1,power,0.7,0.7,20
27,0.7,power,0.9,0.7,20
28,0.9,power,0.7,0.9,20
29,0.7,power,0.7,0.1,20
30,0.5,power,0.1,0.7,20
31,0.1,power,0.9,0.3,20
32,0.5,power,0.1,0.9,20
33,0.7,power,0.3,0.3,20
34,0.3,power,0.7,0.5,20
35,0.9,power,0.3,0.3,20
36,0.5,power,0.5,0.3,20
37,0.3,power,0.5,0.5,20
38,0.3,power,0.3,0.7,20
39,0.1,power,0.5,0.7,20
40,0.3,power,0.9,0.7,20
41,0.3,power,0.1,0.1,20
42,0.1,power,0.3,0.7,20
43,0.5,power,0.9,0.3,20
44,0.3,power,0.1,0.5,20
45,0.5,power,0.7,0.9,20
46,0.5,power,0.9,0.1,20
47,0.3,power,0.5,0.7,20
48,0.9,power,0.1,0.9,20
49,0.7,power,0.3,0.7,20
50,0.7,power,0.5,0.5,20
51,0.7,power,0.5,0.9,20
52,0.3,power,0.1,0.3,20
53,0.7,power,0.1,0.7,20
54,0.1,power,0.3,0.3,20
55,0.7,power,0.9,0.9,20
56,0.9,power,0.1,0.1,20
57,0.9,power,0.9,0.9,20
58,0.3,power,0.5,0.3,20
59,0.3,power,0.3,0.5,20
60,0.5,power,0.1,0.5,20
61,0.3,power,0.9,0.9,20
62,0.9,power,0.1,0.5,20
63,0.3,power,0.3,0.3,20
64,0.9,power,0.3,0.1,20
65,0.3,power,0.7,0.7,20
66,0.1,power,0.7,0.5,20
67,0.7,power,0.1,0.3,20
68,0.1,power,0.7,0.9,20
69,0.5,power,0.3,0.9,20
70,0.5,power,0.5,0.7,20
71,0.9,power,0.5,0.7,20
72,0.9,power,0.5,0.3,20
73,0.5,power,0.5,0.5,20
74,0.1,power,0.9,0.7,20
75,0.7,power,0.5,0.7,20
76,0.5,power,0.5,0.9,20
77,0.3,power,0.7,0.9,20
78,0.1,power,0.5,0.3,20
79,0.5,power,0.3,0.1,20
80,0.9,power,0.7,0.7,20
81,0.5,power,0.7,0.7,20
82,0.5,power,0.9,0.5,20
83,0.1,power,0.1,0.9,20
84,0.9,power,0.9,0.7,20
85,0.9,power,0.9,0.5,20
86,0.1,power,0.1,0.7,20
87,0.7,power,0.7,0.9,20
88,0.7,power,0.1,0.5,20
89,0.7,power,0.3,0.5,20
90,0.7,power,0.7,0.3,20
91,0.1,power,0.1,0.1,20
92,0.9,power,0.9,0.1,20
93,0.1,power,0.3,0.5,20
94,0.1,power,0.1,0.3,20
95,0.5,power,0.7,0.1,20
96,0.9,power,0.7,0.1,20
97,0.5,power,0.3,0.7,20
98,0.1,power,0.5,0.9,20
99,0.3,power,0.7,0.3,20
100,0.7,power,0.5,0.1,20
101,0.1,power,0.9,0.5,20
102,0.1,power,0.9,0.1,20
103,0.9,power,0.5,0.9,20
104,0.9,power,0.5,0.1,20
105,0.5,power,0.5,0.1,20
106,0.7,power,0.9,0.5,20
107,0.7,power,0.7,0.5,20
108,0.5,power,0.3,0.3,20
109,0.1,power,0.7,0.3,20
110,0.7,power,0.1,0.9,20
111,0.3,power,0.7,0.1,20
112,0.9,power,0.3,0.5,20
113,0.9,power,0.3,0.7,20
114,0.3,power,0.9,0.3,20
115,0.5,power,0.3,0.5,20
116,0.3,power,0.5,0.9,20
117,0.9,power,0.9,0.3,20
118,0.9,power,0.1,0.7,20
119,0.7,power,0.9,0.3,20
120,0.1,power,0.3,0.9,20
121,0.7,power,0.1,0.1,20
122,0.3,power,0.1,0.9,20
123,0.1,power,0.5,0.5,20
124,0.7,power,0.5,0.3,20
