trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-93.92056537190463,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-61.7748142933466,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-106.4285479840691,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-196.4831719379716,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-120.95986670631527,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-61.395902394619036,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-136.76859013680908,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-197.9318338663734,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-227.50784928082797,"{0: 15, 1: 0, 2: 12, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-210.81850218035976,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,15,-4.573469483362214,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-141.14751072034215,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-175.09878230540014,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-102.9224866226249,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-210.06436490460626,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,9,-15.597250450515183,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-167.78984520239914,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-169.0469661332152,"{0: 15, 1: 1, 2: 12, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,3,-34.20260810963208,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-132.51904031600597,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,-159.38717272896872,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",30,0,-185.19907816776745,"{0: 16, 1: 0, 2: 12, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",30,0,-221.9248406940783,"{0: 15, 1: 0, 2: 12, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",20,0,-141.82411249830972,"{0: 8, 1: 0, 2: 11, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",35,0,-230.68945202867758,"{0: 22, 1: 0, 2: 9, 3: 0, 4: 4}",0
6,True,"{'a': 0, 'e': 0}",25,0,-133.61195233870725,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",30,14,-94.52055721207022,"{0: 6, 1: 0, 2: 10, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,-143.33121179506566,"{0: 9, 1: 0, 2: 9, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",30,0,-246.60309238551366,"{0: 14, 1: 0, 2: 12, 3: 1, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",20,11,-58.57726199666914,"{0: 4, 1: 0, 2: 4, 3: 1, 4: 0}",1
