trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.9}",20,10,-81.30857509224795,"{0: 5, 1: 0, 2: 3, 3: 1, 4: 1}",1
2,False,"{'a': 0.7, 'e': 0.81}",20,0,-105.39595820001695,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.7, 'e': 0.7290000000000001}",25,0,-83.97796465119586,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.7, 'e': 0.6561}",20,0,-82.20251664339288,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.7, 'e': 0.5904900000000001}",30,0,-149.9908453106861,"{0: 21, 1: 0, 2: 5, 3: 2, 4: 2}",0
6,False,"{'a': 0.7, 'e': 0.531441}",25,0,-13.579089328232032,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.7, 'e': 0.4782969000000001}",25,0,-17.100337945633104,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.7, 'e': 0.4304672100000001}",25,0,-221.55755645334364,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
9,False,"{'a': 0.7, 'e': 0.3874204890000001}",20,0,-51.40778063305069,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.7, 'e': 0.3486784401000001}",20,0,-132.79775206804044,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.7, 'e': 0.31381059609000006}",20,0,-8.52407710890893,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.7, 'e': 0.2824295364810001}",20,0,-123.31807482445998,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.7, 'e': 0.2541865828329001}",30,10,-6.679130169103144,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.7, 'e': 0.2287679245496101}",25,20,9.755940803992273,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.7, 'e': 0.20589113209464907}",30,23,0.07865384094710537,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.7, 'e': 0.18530201888518416}",20,0,-69.21127762562512,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.7, 'e': 0.16677181699666577}",30,2,23.002800458705725,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.7, 'e': 0.15009463529699918}",25,7,-14.659610433514242,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.7, 'e': 0.13508517176729928}",20,0,6.489928852541036,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
20,False,"{'a': 0.7, 'e': 0.12157665459056935}",25,20,7.527860876046738,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.7, 'e': 0.10941898913151242}",30,0,15.717848365597758,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
22,False,"{'a': 0.7, 'e': 0.09847709021836118}",20,9,-46.3681599024998,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 1}",1
23,False,"{'a': 0.7, 'e': 0.08862938119652507}",20,5,25.88983538150284,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.7, 'e': 0.07976644307687256}",25,12,22.306416810323228,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.7, 'e': 0.0717897987691853}",25,3,-128.78662950225745,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 4}",1
26,False,"{'a': 0.7, 'e': 0.06461081889226677}",25,16,16.3830862256414,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.7, 'e': 0.058149737003040096}",30,23,14.689778822276942,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.7, 'e': 0.05233476330273609}",25,12,22.911306844392353,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.7, 'e': 0.047101286972462485}",35,28,11.700042286934522,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.7, 'e': 0.04239115827521624}",20,0,28.471797298452557,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.7, 'e': 0.038152042447694615}",20,10,-16.867074502901637,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
32,False,"{'a': 0.7, 'e': 0.03433683820292515}",20,0,11.346222168645285,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
33,False,"{'a': 0.7, 'e': 0.030903154382632636}",20,13,-3.3325030074913835,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.7, 'e': 0.027812838944369374}",30,12,7.332908382736168,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
35,False,"{'a': 0.7, 'e': 0.025031555049932437}",20,2,-15.746958648168897,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
36,False,"{'a': 0.7, 'e': 0.022528399544939195}",20,16,7.8160826530905,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.7, 'e': 0.020275559590445275}",30,13,36.06330739624194,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.7, 'e': 0.01824800363140075}",25,13,21.135935716425386,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
