trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.847947453490214,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-146.5896835792092,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.36926312949454,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,6,-69.87991287028561,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.78956513492963,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,1,-176.83554052062885,"{0: 15, 1: 1, 2: 3, 3: 2, 4: 3}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.48507905181082,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.65851874574244,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.0548276800873,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-229.26138580388246,"{0: 16, 1: 2, 2: 6, 3: 3, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.70414665649145,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-238.4115543521818,"{0: 13, 1: 7, 2: 4, 3: 3, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,11,-38.34038899675179,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.55590151984413,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.20637345325089,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-51.22577603258477,"{0: 23, 1: 1, 2: 4, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-164.3799334670991,"{0: 16, 1: 1, 2: 8, 3: 5, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,19,10.780960202457075,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.78513823490607,"{0: 10, 1: 2, 2: 10, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.47631178002374,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-180.22384809358851,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,3,-135.79389434449365,"{0: 9, 1: 0, 2: 5, 3: 1, 4: 2}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,12,-47.53596096229569,"{0: 4, 1: 3, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-184.548256494753,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.91759842539872,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-131.45713097611193,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.42201416171181,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.12397354859239,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-176.59121256050952,"{0: 19, 1: 5, 2: 1, 3: 2, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,7,-112.2403413529043,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 1}",1
